investor_id,name,pan,email,mobile,state,city,dob,kyc_status,risk_profile,registration_date
INV00001,Investor 1,ABCDE0001F,investor1@email.com,9639275522,Maharashtra,City_1,1993-12-01,KYC_PENDING,Moderate,2020-05-05
INV00002,Investor 2,ABCDE0002F,investor2@email.com,9588830792,Tamil Nadu,City_2,1975-10-08,KYC_VERIFIED,Conservative,2021-02-04
INV00003,Investor 3,ABCDE0003F,investor3@email.com,9964009280,Tamil Nadu,City_3,1980-01-18,KYC_PENDING,Aggressive,2022-03-18
INV00004,Investor 4,ABCDE0004F,investor4@email.com,9379035786,Delhi,City_4,1983-12-21,KYC_VERIFIED,Aggressive,2020-08-14
INV00005,Investor 5,ABCDE0005F,investor5@email.com,9925620454,Maharashtra,City_5,1987-10-12,KYC_VERIFIED,Moderate,2020-02-22
INV00006,Investor 6,ABCDE0006F,investor6@email.com,9217521138,Karnataka,City_6,1975-06-19,KYC_VERIFIED,Aggressive,2021-05-18
INV00007,Investor 7,ABCDE0007F,investor7@email.com,9553492325,Maharashtra,City_7,1982-06-23,KYC_VERIFIED,Moderate,2021-08-14
INV00008,Investor 8,ABCDE0008F,investor8@email.com,9983947462,Gujarat,City_8,1983-05-18,KYC_VERIFIED,Conservative,2018-08-13
INV00009,Investor 9,ABCDE0009F,investor9@email.com,9132535033,West Bengal,City_9,1990-04-10,KYC_PENDING,Aggressive,2021-10-15
INV00010,Investor 10,ABCDE0010F,investor10@email.com,9892673375,Delhi,City_10,1974-12-29,KYC_VERIFIED,Moderate,2021-12-04
INV00011,Investor 11,ABCDE0011F,investor11@email.com,9644433161,West Bengal,City_11,1960-07-21,KYC_PENDING,Conservative,2019-06-23
INV00012,Investor 12,ABCDE0012F,investor12@email.com,9250351262,Rajasthan,City_12,1989-12-22,KYC_VERIFIED,Conservative,2020-06-02
INV00013,Investor 13,ABCDE0013F,investor13@email.com,9546035450,Rajasthan,City_13,1986-04-19,KYC_PENDING,Conservative,2022-02-15
INV00014,Investor 14,ABCDE0014F,investor14@email.com,9908579823,Gujarat,City_14,1973-05-25,KYC_VERIFIED,Moderate,2020-02-11
INV00015,Investor 15,ABCDE0015F,investor15@email.com,9297538186,West Bengal,City_15,1988-01-10,KYC_PENDING,Moderate,2020-05-02
INV00016,Investor 16,ABCDE0016F,investor16@email.com,9237639401,Gujarat,City_16,1985-05-29,KYC_VERIFIED,Aggressive,2019-10-29
INV00017,Investor 17,ABCDE0017F,investor17@email.com,9394556850,Maharashtra,City_17,1983-09-24,KYC_VERIFIED,Moderate,2018-10-19
INV00018,Investor 18,ABCDE0018F,investor18@email.com,9250730791,Karnataka,City_18,1978-05-04,KYC_VERIFIED,Conservative,2019-08-15
INV00019,Investor 19,ABCDE0019F,investor19@email.com,9607558270,Gujarat,City_19,1960-07-17,KYC_VERIFIED,Conservative,2020-08-23
INV00020,Investor 20,ABCDE0020F,investor20@email.com,9150481849,Maharashtra,City_20,1965-01-05,KYC_VERIFIED,Conservative,2022-05-29
INV00021,Investor 21,ABCDE0021F,investor21@email.com,9443832325,Delhi,City_21,1996-01-10,KYC_PENDING,Conservative,2018-11-06
INV00022,Investor 22,ABCDE0022F,investor22@email.com,9990847774,Gujarat,City_22,1962-07-30,KYC_VERIFIED,Aggressive,2021-01-27
INV00023,Investor 23,ABCDE0023F,investor23@email.com,9534508891,Delhi,City_23,1961-12-11,KYC_VERIFIED,Moderate,2019-03-29
INV00024,Investor 24,ABCDE0024F,investor24@email.com,9461634332,Rajasthan,City_24,1963-03-05,KYC_PENDING,Conservative,2019-09-19
INV00025,Investor 25,ABCDE0025F,investor25@email.com,9488953691,Karnataka,City_25,1999-06-18,KYC_VERIFIED,Conservative,2021-07-01
INV00026,Investor 26,ABCDE0026F,investor26@email.com,9227619602,Karnataka,City_26,1969-07-03,KYC_VERIFIED,Moderate,2018-08-03
INV00027,Investor 27,ABCDE0027F,investor27@email.com,9833112452,Delhi,City_27,1985-01-13,KYC_VERIFIED,Aggressive,2021-09-14
INV00028,Investor 28,ABCDE0028F,investor28@email.com,9138511981,Rajasthan,City_28,1970-08-08,KYC_PENDING,Conservative,2020-09-04
INV00029,Investor 29,ABCDE0029F,investor29@email.com,9213991282,Tamil Nadu,City_29,1962-09-22,KYC_VERIFIED,Moderate,2022-01-28
INV00030,Investor 30,ABCDE0030F,investor30@email.com,9622621695,Maharashtra,City_30,1988-01-29,KYC_VERIFIED,Aggressive,2019-07-03
INV00031,Investor 31,ABCDE0031F,investor31@email.com,9396950353,Tamil Nadu,City_31,1962-10-22,KYC_PENDING,Conservative,2019-06-15
INV00032,Investor 32,ABCDE0032F,investor32@email.com,9674328089,Delhi,City_32,1983-12-30,KYC_VERIFIED,Moderate,2019-07-16
INV00033,Investor 33,ABCDE0033F,investor33@email.com,9558650087,Tamil Nadu,City_33,1990-07-27,KYC_PENDING,Aggressive,2022-01-15
INV00034,Investor 34,ABCDE0034F,investor34@email.com,9163399412,Gujarat,City_34,1995-11-15,KYC_VERIFIED,Conservative,2022-12-06
INV00035,Investor 35,ABCDE0035F,investor35@email.com,9685775018,Maharashtra,City_35,1996-11-23,KYC_PENDING,Moderate,2021-06-08
INV00036,Investor 36,ABCDE0036F,investor36@email.com,9739658855,Maharashtra,City_36,1972-07-23,KYC_PENDING,Conservative,2021-07-29
INV00037,Investor 37,ABCDE0037F,investor37@email.com,9476339215,West Bengal,City_37,1978-07-14,KYC_VERIFIED,Moderate,2022-04-19
INV00038,Investor 38,ABCDE0038F,investor38@email.com,9711057580,West Bengal,City_38,1981-01-14,KYC_PENDING,Moderate,2020-03-01
INV00039,Investor 39,ABCDE0039F,investor39@email.com,9450916965,Karnataka,City_39,1998-12-27,KYC_VERIFIED,Aggressive,2020-06-14
INV00040,Investor 40,ABCDE0040F,investor40@email.com,9202793864,Delhi,City_40,1962-04-17,KYC_VERIFIED,Conservative,2018-09-20
INV00041,Investor 41,ABCDE0041F,investor41@email.com,9131223942,UP,City_41,1964-01-14,KYC_PENDING,Conservative,2022-02-22
INV00042,Investor 42,ABCDE0042F,investor42@email.com,9341715666,Tamil Nadu,City_42,1998-04-10,KYC_VERIFIED,Moderate,2018-10-01
INV00043,Investor 43,ABCDE0043F,investor43@email.com,9588173827,Karnataka,City_43,1999-08-08,KYC_VERIFIED,Aggressive,2018-09-20
INV00044,Investor 44,ABCDE0044F,investor44@email.com,9531966158,Delhi,City_44,1973-06-28,KYC_PENDING,Moderate,2020-12-16
INV00045,Investor 45,ABCDE0045F,investor45@email.com,9191338615,Gujarat,City_45,1971-10-08,KYC_PENDING,Aggressive,2020-06-12
INV00046,Investor 46,ABCDE0046F,investor46@email.com,9342702410,West Bengal,City_46,1987-11-27,KYC_VERIFIED,Conservative,2020-12-28
INV00047,Investor 47,ABCDE0047F,investor47@email.com,9827212118,West Bengal,City_47,1998-03-23,KYC_VERIFIED,Conservative,2019-06-20
INV00048,Investor 48,ABCDE0048F,investor48@email.com,9663889975,UP,City_48,1979-07-20,KYC_VERIFIED,Conservative,2019-12-21
INV00049,Investor 49,ABCDE0049F,investor49@email.com,9835829563,Rajasthan,City_49,1969-02-13,KYC_PENDING,Aggressive,2020-05-19
INV00050,Investor 50,ABCDE0050F,investor50@email.com,9508175010,Rajasthan,City_0,1990-10-08,KYC_PENDING,Aggressive,2020-04-30
INV00051,Investor 51,ABCDE0051F,investor51@email.com,9576296503,Maharashtra,City_1,1962-11-08,KYC_VERIFIED,Moderate,2022-10-15
INV00052,Investor 52,ABCDE0052F,investor52@email.com,9927847760,West Bengal,City_2,1980-12-22,KYC_PENDING,Aggressive,2018-06-08
INV00053,Investor 53,ABCDE0053F,investor53@email.com,9121665013,UP,City_3,1963-11-25,KYC_PENDING,Conservative,2022-05-11
INV00054,Investor 54,ABCDE0054F,investor54@email.com,9375639987,Delhi,City_4,1995-05-16,KYC_VERIFIED,Conservative,2022-03-18
INV00055,Investor 55,ABCDE0055F,investor55@email.com,9890051435,Rajasthan,City_5,1991-12-11,KYC_VERIFIED,Conservative,2018-08-04
INV00056,Investor 56,ABCDE0056F,investor56@email.com,9355638154,UP,City_6,1961-03-04,KYC_VERIFIED,Moderate,2020-05-07
INV00057,Investor 57,ABCDE0057F,investor57@email.com,9670085584,Rajasthan,City_7,1976-07-10,KYC_PENDING,Aggressive,2021-12-28
INV00058,Investor 58,ABCDE0058F,investor58@email.com,9732141719,Gujarat,City_8,1974-05-10,KYC_VERIFIED,Moderate,2021-11-25
INV00059,Investor 59,ABCDE0059F,investor59@email.com,9324597002,West Bengal,City_9,1996-09-25,KYC_VERIFIED,Aggressive,2018-12-22
INV00060,Investor 60,ABCDE0060F,investor60@email.com,9722118110,UP,City_10,1964-10-05,KYC_VERIFIED,Moderate,2022-07-17
INV00061,Investor 61,ABCDE0061F,investor61@email.com,9906478665,West Bengal,City_11,1972-05-08,KYC_PENDING,Conservative,2020-08-15
INV00062,Investor 62,ABCDE0062F,investor62@email.com,9744443941,Maharashtra,City_12,1963-11-19,KYC_VERIFIED,Moderate,2019-11-16
INV00063,Investor 63,ABCDE0063F,investor63@email.com,9866438740,Maharashtra,City_13,1980-10-03,KYC_VERIFIED,Conservative,2019-07-24
INV00064,Investor 64,ABCDE0064F,investor64@email.com,9264378500,West Bengal,City_14,1977-10-17,KYC_PENDING,Aggressive,2020-02-21
INV00065,Investor 65,ABCDE0065F,investor65@email.com,9643634085,Maharashtra,City_15,1977-01-03,KYC_VERIFIED,Conservative,2018-05-21
INV00066,Investor 66,ABCDE0066F,investor66@email.com,9776483902,Gujarat,City_16,1996-12-10,KYC_VERIFIED,Conservative,2019-10-13
INV00067,Investor 67,ABCDE0067F,investor67@email.com,9949798972,Gujarat,City_17,1989-07-26,KYC_PENDING,Moderate,2022-07-08
INV00068,Investor 68,ABCDE0068F,investor68@email.com,9877987254,Rajasthan,City_18,1981-08-30,KYC_VERIFIED,Conservative,2020-06-06
INV00069,Investor 69,ABCDE0069F,investor69@email.com,9651056829,West Bengal,City_19,1990-02-07,KYC_VERIFIED,Conservative,2019-08-03
INV00070,Investor 70,ABCDE0070F,investor70@email.com,9854812787,Maharashtra,City_20,1990-12-11,KYC_PENDING,Conservative,2018-03-06
INV00071,Investor 71,ABCDE0071F,investor71@email.com,9349677858,UP,City_21,1968-02-03,KYC_VERIFIED,Moderate,2019-03-13
INV00072,Investor 72,ABCDE0072F,investor72@email.com,9130909212,West Bengal,City_22,1979-06-20,KYC_VERIFIED,Moderate,2018-05-20
INV00073,Investor 73,ABCDE0073F,investor73@email.com,9517301384,Gujarat,City_23,1970-07-03,KYC_VERIFIED,Moderate,2021-06-01
INV00074,Investor 74,ABCDE0074F,investor74@email.com,9291002543,Delhi,City_24,1993-06-27,KYC_VERIFIED,Moderate,2022-07-18
INV00075,Investor 75,ABCDE0075F,investor75@email.com,9747516543,UP,City_25,1985-05-22,KYC_PENDING,Aggressive,2021-01-09
INV00076,Investor 76,ABCDE0076F,investor76@email.com,9186809038,Tamil Nadu,City_26,1976-02-27,KYC_VERIFIED,Moderate,2018-05-21
INV00077,Investor 77,ABCDE0077F,investor77@email.com,9276857188,West Bengal,City_27,1991-12-28,KYC_VERIFIED,Aggressive,2019-10-11
INV00078,Investor 78,ABCDE0078F,investor78@email.com,9546122273,Tamil Nadu,City_28,1991-06-26,KYC_VERIFIED,Conservative,2020-12-02
