investor_id,name,pan,state,city,city_tier,gender,dob,kyc_status,risk_profile,registration_date
INV00001,Investor 1,ABCDE0001F,UP,City_22,T30,Other,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00002,Investor 2,ABCDE0002F,Rajasthan,City_13,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00003,Investor 3,ABCDE0003F,Kerala,City_69,B30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00004,Investor 4,ABCDE0004F,Kerala,City_89,T30,Male,2006-07-04,KYC_VERIFIED,Aggressive,2021-01-01
INV00005,Investor 5,ABCDE0005F,Rajasthan,City_45,T30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00006,Investor 6,ABCDE0006F,Tamil Nadu,City_47,T30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00007,Investor 7,ABCDE0007F,West Bengal,City_19,T30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00008,Investor 8,ABCDE0008F,Delhi,City_79,B30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00009,Investor 9,ABCDE0009F,Karnataka,City_29,B30,Female,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00010,Investor 10,ABCDE0010F,Delhi,City_17,T30,Female,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00011,Investor 11,ABCDE0011F,Punjab,City_68,T30,Female,1986-07-09,KYC_VERIFIED,Aggressive,2021-01-01
INV00012,Investor 12,ABCDE0012F,UP,City_43,T30,Female,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00013,Investor 13,ABCDE0013F,Delhi,City_67,T30,Female,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00014,Investor 14,ABCDE0014F,Kerala,City_86,T30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00015,Investor 15,ABCDE0015F,Tamil Nadu,City_62,T30,Other,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00016,Investor 16,ABCDE0016F,Rajasthan,City_5,B30,Male,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00017,Investor 17,ABCDE0017F,UP,City_72,T30,Male,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00018,Investor 18,ABCDE0018F,Tamil Nadu,City_38,T30,Female,1976-07-11,KYC_VERIFIED,Conservative,2021-01-01
INV00019,Investor 19,ABCDE0019F,Punjab,City_98,T30,Male,1966-07-14,KYC_VERIFIED,Moderate,2021-01-01
INV00020,Investor 20,ABCDE0020F,West Bengal,City_18,T30,Other,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00021,Investor 21,ABCDE0021F,Tamil Nadu,City_84,T30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00022,Investor 22,ABCDE0022F,UP,City_40,B30,Other,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00023,Investor 23,ABCDE0023F,West Bengal,City_90,T30,Female,2006-07-04,KYC_VERIFIED,Conservative,2021-01-01
INV00024,Investor 24,ABCDE0024F,Tamil Nadu,City_50,T30,Female,1996-07-06,KYC_VERIFIED,Aggressive,2021-01-01
INV00025,Investor 25,ABCDE0025F,Delhi,City_77,T30,Other,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00026,Investor 26,ABCDE0026F,UP,City_62,B30,Female,1986-07-09,KYC_VERIFIED,Conservative,2021-01-01
INV00027,Investor 27,ABCDE0027F,Maharashtra,City_50,T30,Female,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00028,Investor 28,ABCDE0028F,Karnataka,City_15,T30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00029,Investor 29,ABCDE0029F,Karnataka,City_58,B30,Male,1986-07-09,KYC_VERIFIED,Moderate,2021-01-01
INV00030,Investor 30,ABCDE0030F,UP,City_91,B30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
INV00031,Investor 31,ABCDE0031F,Punjab,City_18,B30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00032,Investor 32,ABCDE0032F,West Bengal,City_67,T30,Male,1996-07-06,KYC_VERIFIED,Conservative,2021-01-01
INV00033,Investor 33,ABCDE0033F,UP,City_94,B30,Female,1996-07-06,KYC_VERIFIED,Moderate,2021-01-01
